#time,accel_x,accel_y,accel_z
20830.002215,2072.576638,6069.688724,-74924.139704
20830.004755,2516.700203,6513.812290,-74924.139704
20830.007295,2072.576638,6365.771101,-75077.358804
20830.009835,1924.535449,6365.771101,-75230.577904
20830.012375,1776.494261,5625.565159,-75383.797003
20830.014915,6513.812290,8290.306550,-74311.263306
20830.017455,2072.576638,5773.606348,-74311.263306
20830.019994,5329.482782,8142.265362,-74770.920605
20830.022534,1480.411884,7698.141797,-75077.358804
20830.025074,-740.205942,7846.182985,-74617.701505
20830.027614,3997.112087,9178.553681,-74924.139704
20830.030154,1628.453072,9770.718434,-74617.701505
20830.032694,11251.130318,9918.759623,-74617.701505
20830.035234,5625.565159,15100.201217,-73238.729609
20830.037773,8586.388927,19393.395680,-73851.606007
20830.040313,-7846.182985,11103.089130,-76915.987999
20830.042853,-1628.453072,4589.276840,-74924.139704
20830.045393,-4737.318029,1184.329507,-74617.701505
20830.047933,3256.906145,-888.247130,-75843.454302
20830.050473,740.205942,-5033.400406,-78141.740796
20830.053012,2812.782580,-2072.576638,-75996.673402
20830.055552,-3849.070898,2072.576638,-74770.920605
20830.058092,-3849.070898,6809.894666,-75230.577904
20830.060632,5181.441594,10807.006753,-75537.016103
20830.063172,1776.494261,10214.842000,-74004.825107
20830.065712,7994.224174,10362.883188,-74617.701505
20830.068252,-4885.359217,3552.988522,-75843.454302
20830.070791,-1480.411884,148.041188,-76456.330700
20830.073331,-8290.306550,740.205942,-75537.016103
20830.075871,1776.494261,4145.153275,-74770.920605
20830.078411,2072.576638,9030.512492,-75996.673402
20830.080951,2960.823768,5181.441594,-76149.892501
20830.083491,2516.700203,3997.112087,-74004.825107
20830.086031,-3997.112087,2960.823768,-74004.825107
20830.088570,-3849.070898,4589.276840,-75230.577904
20830.091110,1184.329507,7105.977043,-75383.797003
20830.093650,-740.205942,5181.441594,-75077.358804
20830.096190,10510.924376,6661.853478,-74158.044206
20830.098730,-3108.864956,2220.617826,-76303.111601
20830.101277,-2812.782580,2812.782580,-75690.235202
20830.103825,-1332.370696,3701.029710,-75690.235202
20830.106372,-7402.059420,-148.041188,-76456.330700
20830.108920,-444.123565,-296.082377,-77069.207099
20830.111468,6217.729913,1776.494261,-76762.768900
20830.114015,2072.576638,6365.771101,-75230.577904
20830.116563,-8586.388927,4589.276840,-74924.139704
20830.119110,13027.624579,148.041188,-75537.016103
20830.121658,7105.977043,9030.512492,-74770.920605
20830.124205,-17912.983796,15396.283594,-74004.825107
20830.126753,9622.677246,13175.665768,-75690.235202
20830.129300,18801.230927,9474.636058,-74924.139704
20830.131848,-20577.725188,-2368.659014,-74311.263306
20830.134396,4737.318029,-7105.977043,-75383.797003
20830.136943,15988.448347,2664.741391,-75537.016103
20830.139491,3256.906145,15544.324782,-76149.892501
20830.142038,2072.576638,15840.407159,-75230.577904
20830.144586,1628.453072,9474.636058,-74924.139704
20830.147133,-2960.823768,7254.018232,-73545.167808
20830.149681,3404.947333,9918.759623,-73391.948708
20830.152228,9918.759623,10658.965565,-74924.139704
20830.154776,8882.471304,10510.924376,-76456.330700
20830.157324,-1628.453072,3701.029710,-75843.454302
20830.159871,1036.288319,1480.411884,-74004.825107
20830.162419,-2516.700203,5773.606348,-75690.235202
20830.164966,10955.047942,13175.665768,-75843.454302
20830.167514,12879.583391,16284.530724,-73545.167808
20830.170061,3552.988522,13767.830521,-73698.386908
20830.172609,8290.306550,1480.411884,-75537.016103
20830.175156,-6069.688724,1628.453072,-74311.263306
20830.177704,1184.329507,9178.553681,-73238.729609
20830.180252,1628.453072,11843.295072,-78601.398095
20830.182799,9918.759623,8586.388927,-77222.426198
20830.185347,5625.565159,6957.935855,-73545.167808
20830.187894,5921.647536,8290.306550,-74924.139704
20830.190442,1036.288319,10066.800811,-76915.987999
20830.192989,4589.276840,15100.201217,-75690.235202
20830.195537,1480.411884,13619.789333,-74311.263306
20830.198084,5329.482782,6365.771101,-75690.235202
20830.200632,-1036.288319,444.123565,-75996.673402
20830.203157,9326.594869,4293.194464,-73545.167808
20830.205682,3256.906145,11103.089130,-74464.482406
20830.208206,6957.935855,13471.748144,-76303.111601
20830.210731,-3701.029710,6365.771101,-75690.235202
20830.213256,-148.041188,4293.194464,-73851.606007
20830.215781,9178.553681,6365.771101,-74770.920605
20830.218306,13323.706956,15544.324782,-75690.235202
20830.220830,-2368.659014,12287.418637,-76303.111601
20830.223355,10955.047942,8142.265362,-74311.263306
20830.225880,-13471.748144,-1332.370696,-74924.139704
20830.228405,-12287.418637,-5921.647536,-75690.235202
20830.230930,7254.018232,4589.276840,-75843.454302
20830.233454,10214.842000,13175.665768,-77222.426198
20830.235979,5329.482782,10658.965565,-75843.454302
20830.238504,-3552.988522,740.205942,-74924.139704
20830.241029,-148.041188,-2664.741391,-73698.386908
20830.243554,-9474.636058,5921.647536,-75230.577904
20830.246078,444.123565,8290.306550,-77682.083497
20830.248603,6069.688724,6069.688724,-77069.207099
20830.251128,-296.082377,592.164754,-74770.920605
20830.253653,-592.164754,-1628.453072,-73545.167808
20830.256178,-4441.235652,0.000000,-75996.673402
20830.258702,2516.700203,10066.800811,-76303.111601
20830.261227,-2516.700203,11695.253884,-75230.577904
20830.263752,4589.276840,9326.594869,-74158.044206
20830.266277,-1332.370696,-1036.288319,-75996.673402
20830.268802,-1776.494261,740.205942,-74924.139704
20830.271326,-1776.494261,3256.906145,-74004.825107
20830.273851,-1036.288319,10066.800811,-75690.235202
20830.276376,2960.823768,5773.606348,-78294.959896
20830.278901,1480.411884,6365.771101,-74924.139704
20830.281426,-1776.494261,3404.947333,-73545.167808
20830.283950,-5181.441594,2072.576638,-75230.577904
20830.286475,2960.823768,7994.224174,-75077.358804
20830.289000,-2516.700203,8734.430116,-74158.044206
20830.291525,8290.306550,6809.894666,-76303.111601
20830.294050,-2368.659014,888.247130,-75690.235202
20830.296575,-740.205942,592.164754,-74158.044206
20830.299099,-10807.006753,-2368.659014,-74617.701505
20830.301624,592.164754,148.041188,-76609.549800
20830.304160,6957.935855,6809.894666,-76609.549800
20830.306695,1628.453072,8142.265362,-75690.235202
20830.309230,-8142.265362,1480.411884,-75690.235202
20830.311766,1332.370696,-4589.276840,-75383.797003
20830.314301,14063.912898,7550.100608,-73391.948708
20830.316837,-13915.871710,11399.171507,-74464.482406
20830.319372,2072.576638,12583.501014,-75996.673402
20830.321908,16284.530724,6809.894666,-76149.892501
20830.324443,-13767.830521,2960.823768,-73851.606007
20830.326979,5773.606348,1924.535449,-74770.920605
20830.329514,19985.560434,8734.430116,-75230.577904
20830.332049,1924.535449,16580.613101,-75383.797003
20830.334585,1924.535449,14211.954086,-75383.797003
20830.337120,1924.535449,6957.935855,-75077.358804
20830.339656,-5921.647536,1628.453072,-75383.797003
20830.342191,9178.553681,6957.935855,-74158.044206
20830.344727,5773.606348,10362.883188,-75690.235202
20830.347262,10066.800811,11991.336260,-75996.673402
20830.349798,-1184.329507,6217.729913,-74770.920605
20830.352333,1776.494261,7254.018232,-73851.606007
20830.354868,-7254.018232,7105.977043,-75230.577904
20830.357404,8438.347739,13027.624579,-76915.987999
20830.359939,12287.418637,12879.583391,-75383.797003
20830.362475,1332.370696,8882.471304,-74770.920605
20830.365010,2368.659014,2516.700203,-76149.892501
20830.367546,2220.617826,4293.194464,-74311.263306
20830.370081,-592.164754,9178.553681,-74004.825107
20830.372617,2220.617826,9474.636058,-76456.330700
20830.375152,7698.141797,9918.759623,-77528.864398
20830.377687,9622.677246,9178.553681,-74924.139704
20830.380223,5477.523971,8586.388927,-74311.263306
20830.382758,1628.453072,11103.089130,-75537.016103
20830.385294,-2812.782580,10214.842000,-75843.454302
20830.387829,5181.441594,11251.130318,-74004.825107
20830.390365,6069.688724,3849.070898,-75690.235202
20830.392900,13027.624579,6365.771101,-75537.016103
20830.395436,3256.906145,9474.636058,-74311.263306
20830.397971,-2960.823768,7402.059420,-75996.673402
20830.400506,-3701.029710,6661.853478,-74770.920605
20830.403042,-592.164754,6957.935855,-74311.263306
20830.405587,23390.507767,14952.160028,-74770.920605
20830.408131,-740.205942,12435.459826,-75230.577904
20830.410676,8734.430116,8882.471304,-74770.920605
20830.413221,11103.089130,6661.853478,-72779.072310
20830.415765,-26351.331535,-1776.494261,-77528.864398
20830.418310,8586.388927,-296.082377,-77375.645298
20830.420854,1776.494261,8438.347739,-76303.111601
