#time,accel_x,accel_y,accel_z
26188.483601,3849.070898,5625.565159,-75537.016103
26188.486233,2960.823768,3256.906145,-76762.768900
26188.488866,-2368.659014,3108.864956,-75843.454302
26188.491499,8290.306550,2516.700203,-75996.673402
26188.494131,-4589.276840,6809.894666,-74158.044206
26188.496764,16284.530724,3256.906145,-76609.549800
26188.499396,2960.823768,4145.153275,-75383.797003
26188.502029,7846.182985,148.041188,-74924.139704
26188.504662,-740.205942,444.123565,-75690.235202
26188.507294,-7402.059420,-6069.688724,-76915.987999
26188.509927,888.247130,-2664.741391,-75077.358804
26188.512560,2516.700203,10214.842000,-73391.948708
26188.515192,0.000000,23982.672521,-76303.111601
26188.517825,0.000000,24722.878463,-75230.577904
26188.520457,-6513.812290,16284.530724,-73238.729609
26188.523090,2220.617826,740.205942,-73085.510509
26188.525723,-1332.370696,3256.906145,-73698.386908
26188.528353,6069.688724,9622.677246,-76456.330700
26188.530983,740.205942,7994.224174,-77528.864398
26188.533613,1776.494261,3256.906145,-75996.673402
26188.536244,-6069.688724,5477.523971,-73851.606007
26188.538874,-148.041188,6513.812290,-74617.701505
26188.541504,148.041188,13175.665768,-74617.701505
26188.544134,-296.082377,8142.265362,-76609.549800
26188.546765,8734.430116,7254.018232,-75230.577904
26188.549395,-6069.688724,8586.388927,-73698.386908
26188.552025,6513.812290,5625.565159,-76149.892501
26188.554655,-13915.871710,7994.224174,-75230.577904
26188.557286,11991.336260,9770.718434,-73851.606007
26188.559916,-8586.388927,8290.306550,-75077.358804
26188.562546,9622.677246,5773.606348,-76149.892501
26188.565176,-4293.194464,8734.430116,-75996.673402
26188.567807,1924.535449,8142.265362,-75230.577904
26188.570437,-9474.636058,17616.901420,-74464.482406
26188.573067,-888.247130,15396.283594,-75230.577904
26188.575697,-3256.906145,14508.036463,-74311.263306
26188.578328,2960.823768,6661.853478,-74004.825107
26188.580958,-1184.329507,4589.276840,-74924.139704
26188.583588,4145.153275,6513.812290,-76762.768900
26188.586218,0.000000,3701.029710,-76915.987999
26188.588849,-1332.370696,5477.523971,-75383.797003
26188.591479,-8586.388927,7105.977043,-75690.235202
