#time,accel_x,accel_y,accel_z
27352.721304,1184.329507,6365.771101,-75537.016103
27352.723856,1184.329507,6365.771101,-75690.235202
27352.726409,1628.453072,6809.894666,-75077.358804
27352.728961,1776.494261,6365.771101,-74924.139704
27352.731515,1628.453072,6069.688724,-75077.358804
27352.734069,1628.453072,6809.894666,-75383.797003
27352.736623,1332.370696,7254.018232,-75383.797003
27352.739177,5033.400406,4737.318029,-75537.016103
27352.741730,3404.947333,8734.430116,-74924.139704
27352.744284,10362.883188,5033.400406,-74924.139704
27352.746838,3701.029710,9326.594869,-74158.044206
27352.749392,8586.388927,5033.400406,-76456.330700
27352.751946,2220.617826,7402.059420,-74924.139704
27352.754500,8142.265362,4145.153275,-75690.235202
27352.757054,296.082377,7254.018232,-74158.044206
27352.759608,3256.906145,6513.812290,-75843.454302
27352.762162,2960.823768,6661.853478,-74617.701505
27352.764716,5625.565159,5773.606348,-75383.797003
27352.767270,11991.336260,7550.100608,-74311.263306
27352.769824,8290.306550,5329.482782,-74924.139704
27352.772378,2368.659014,6365.771101,-74770.920605
27352.774932,-8882.471304,6809.894666,-75690.235202
27352.777486,-12731.542202,6957.935855,-76609.549800
27352.780040,-2812.782580,6809.894666,-75077.358804
27352.782594,5329.482782,3701.029710,-75230.577904
27352.785148,10807.006753,9030.512492,-74464.482406
27352.787701,-148.041188,5625.565159,-75996.673402
27352.790255,148.041188,9030.512492,-74464.482406
27352.792809,-10955.047942,4145.153275,-76149.892501
27352.795363,-13175.665768,5181.441594,-74924.139704
27352.797917,-1776.494261,5033.400406,-75537.016103
27352.800471,1480.411884,6069.688724,-75843.454302
27352.803025,5625.565159,5921.647536,-76303.111601
27352.805579,444.123565,7994.224174,-74617.701505
27352.808133,-4589.276840,4145.153275,-74770.920605
27352.810687,-7105.977043,5477.523971,-75230.577904
27352.813241,-1332.370696,6809.894666,-74770.920605
27352.815795,8142.265362,6217.729913,-75690.235202
27352.818349,444.123565,8142.265362,-74617.701505
27352.820903,8586.388927,4737.318029,-76762.768900
27352.823457,-15396.283594,6513.812290,-74617.701505
27352.826011,3997.112087,5773.606348,-75843.454302
27352.828565,-7402.059420,7105.977043,-75383.797003
27352.831119,8586.388927,6957.935855,-77375.645298
27352.833520,-444.123565,7105.977043,-75230.577904
27352.835921,2812.782580,4441.235652,-75230.577904
27352.838322,-6809.894666,6809.894666,-75383.797003
27352.840723,-6809.894666,3256.906145,-75843.454302
27352.843124,-2664.741391,11103.089130,-74004.825107
27352.845525,13175.665768,5033.400406,-76303.111601
27352.847926,6661.853478,9770.718434,-74004.825107
27352.850327,5181.441594,2960.823768,-74617.701505
27352.852728,-18653.189738,5625.565159,-74924.139704
27352.855129,-5773.606348,2664.741391,-76303.111601
27352.857530,5625.565159,11547.212695,-74004.825107
27352.859931,12287.418637,4145.153275,-78141.740796
27352.862332,17172.777854,7846.182985,-74464.482406
27352.864733,2220.617826,5181.441594,-73238.729609
27352.867134,-5625.565159,4441.235652,-75383.797003
27352.869535,4885.359217,6957.935855,-75383.797003
27352.871936,148.041188,9030.512492,-74004.825107
27352.874337,19245.354492,5625.565159,-76609.549800
27352.876738,0.000000,10510.924376,-74617.701505
27352.879139,8586.388927,1036.288319,-76303.111601
27352.881540,-5773.606348,7698.141797,-73085.510509
27352.883941,3997.112087,4441.235652,-76149.892501
27352.886342,6217.729913,9770.718434,-74924.139704
27352.888743,16580.613101,6217.729913,-75383.797003
27352.891144,8438.347739,7105.977043,-73238.729609
27352.893545,2664.741391,4737.318029,-74004.825107
27352.895946,-592.164754,2812.782580,-74924.139704
27352.898347,5329.482782,7254.018232,-74770.920605
27352.900748,23982.672521,5181.441594,-76303.111601
27352.903149,-16876.695478,10955.047942,-74464.482406
27352.905550,33753.390955,3552.988522,-76456.330700
27352.907951,-13767.830521,7105.977043,-73698.386908
27352.910352,16284.530724,4441.235652,-74158.044206
27352.912753,-14359.995275,4441.235652,-74464.482406
27352.915154,17764.942608,8438.347739,-75537.016103
