#time,accel_x,accel_y,accel_z
27514.485413,-6513.812290,2960.823768,-75996.673402
27514.487995,7994.224174,5773.606348,-74924.139704
27514.490578,-2072.576638,296.082377,-76303.111601
27514.493161,5625.565159,592.164754,-75230.577904
27514.495744,148.041188,888.247130,-75996.673402
27514.498327,2072.576638,2664.741391,-75537.016103
27514.500909,1036.288319,-296.082377,-76456.330700
27514.503492,-5625.565159,-7254.018232,-75843.454302
27514.506075,1036.288319,-7105.977043,-75690.235202
27514.508658,2664.741391,1776.494261,-75843.454302
27514.511241,10807.006753,13619.789333,-77069.207099
27514.513823,3108.864956,20281.642811,-75077.358804
27514.516406,4145.153275,23390.507767,-72472.634111
27514.518989,740.205942,17024.736666,-72779.072310
27514.521572,-2812.782580,8882.471304,-74464.482406
27514.524154,-2368.659014,6809.894666,-74158.044206
27514.526737,3108.864956,3404.947333,-75537.016103
27514.529320,7254.018232,-1332.370696,-78141.740796
27514.531921,1924.535449,-1628.453072,-76303.111601
27514.534521,3701.029710,5477.523971,-75690.235202
27514.537122,-3256.906145,11547.212695,-74924.139704
27514.539722,3701.029710,18061.024985,-75230.577904
27514.542323,4293.194464,11695.253884,-76762.768900
27514.544924,-148.041188,8438.347739,-74617.701505
27514.547524,4145.153275,3701.029710,-73851.606007
27514.550125,-3256.906145,9918.759623,-76149.892501
27514.552725,5033.400406,1924.535449,-78601.398095
27514.555326,-3997.112087,11695.253884,-74004.825107
27514.557927,7698.141797,7105.977043,-74004.825107
27514.560527,-3552.988522,14656.077652,-72166.195912
27514.563128,3552.988522,15544.324782,-75537.016103
27514.565729,1480.411884,16432.571912,-74311.263306
27514.568329,2072.576638,10214.842000,-74617.701505
27514.570930,1628.453072,5625.565159,-75383.797003
27514.573530,1628.453072,444.123565,-75843.454302
27514.576131,1776.494261,1332.370696,-74924.139704
27514.578732,-5181.441594,5773.606348,-75996.673402
27514.581332,5625.565159,12583.501014,-75230.577904
27514.583933,888.247130,16284.530724,-73391.948708
27514.586533,12583.501014,15100.201217,-73698.386908
27514.589134,-888.247130,11695.253884,-73698.386908
27514.591735,1332.370696,2812.782580,-75230.577904
27514.594335,-6513.812290,8586.388927,-74617.701505
27514.596936,740.205942,12435.459826,-76609.549800
27514.599536,6217.729913,6957.935855,-76915.987999
27514.602137,-148.041188,444.123565,-73391.948708
27514.604738,5033.400406,-4145.153275,-75843.454302
27514.607338,-740.205942,5477.523971,-76303.111601
27514.609939,2812.782580,8290.306550,-75843.454302
27514.612539,7105.977043,8586.388927,-75230.577904
27514.615140,-296.082377,148.041188,-75537.016103
27514.617741,9622.677246,148.041188,-73851.606007
27514.620341,-10955.047942,-1184.329507,-76149.892501
27514.622942,7550.100608,6513.812290,-77222.426198
27514.625543,-4589.276840,8142.265362,-75383.797003
27514.628143,10214.842000,6217.729913,-74770.920605
27514.630744,3701.029710,1628.453072,-75077.358804
27514.633344,2516.700203,1480.411884,-74617.701505
27514.635950,3552.988522,2516.700203,-74617.701505
27514.638557,-3997.112087,3404.947333,-74617.701505
27514.641163,1332.370696,1480.411884,-75843.454302
27514.643769,2368.659014,-2664.741391,-76456.330700
27514.646375,-2664.741391,10066.800811,-74464.482406
27514.648981,3997.112087,1480.411884,-76149.892501
27514.651587,3108.864956,9178.553681,-74617.701505
27514.654193,-3108.864956,7698.141797,-72625.853210
27514.656800,6661.853478,2368.659014,-75690.235202
27514.659406,-148.041188,3256.906145,-76609.549800
27514.662012,5921.647536,888.247130,-76762.768900
27514.664618,148.041188,5625.565159,-75537.016103
27514.667224,2960.823768,-1776.494261,-77069.207099
27514.669830,1628.453072,-296.082377,-75383.797003
27514.672436,5329.482782,-2072.576638,-75383.797003
27514.675042,-888.247130,2072.576638,-75690.235202
27514.677649,3108.864956,5329.482782,-76456.330700
27514.680255,-2368.659014,9474.636058,-75537.016103
27514.682861,-1924.535449,4145.153275,-75077.358804
27514.685467,4441.235652,2664.741391,-74311.263306
27514.688073,9918.759623,-888.247130,-75996.673402
27514.690679,-1924.535449,3108.864956,-75077.358804
27514.693285,5329.482782,6809.894666,-75537.016103
27514.695891,-3404.947333,148.041188,-76609.549800
27514.698498,-1776.494261,444.123565,-75077.358804
27514.701104,-1036.288319,7402.059420,-74464.482406
27514.703710,7994.224174,17172.777854,-75537.016103
27514.706316,-3108.864956,21465.972318,-74770.920605
27514.708922,7402.059420,15248.242405,-74617.701505
27514.711528,-4145.153275,6513.812290,-73545.167808
27514.714134,8438.347739,7698.141797,-74158.044206
27514.716741,1628.453072,5477.523971,-75537.016103
27514.719347,4145.153275,8142.265362,-75537.016103
27514.721953,592.164754,6661.853478,-74617.701505
27514.724559,-4589.276840,8586.388927,-74004.825107
27514.727165,740.205942,7550.100608,-74464.482406
27514.729771,-1036.288319,12731.542202,-74770.920605
27514.732377,8438.347739,9770.718434,-74924.139704
27514.734983,-592.164754,9178.553681,-73238.729609
27514.737590,5477.523971,9326.594869,-72779.072310
27514.740199,-5329.482782,6069.688724,-73545.167808
27514.742808,4293.194464,4589.276840,-75077.358804
27514.745417,-1332.370696,11399.171507,-73698.386908
27514.748026,5477.523971,8438.347739,-74004.825107
27514.750635,444.123565,5921.647536,-74004.825107
27514.753244,2516.700203,6365.771101,-75230.577904
27514.755853,1628.453072,8142.265362,-75843.454302
27514.758462,444.123565,11991.336260,-75843.454302
27514.761071,1776.494261,13471.748144,-76303.111601
27514.763680,1628.453072,12583.501014,-76609.549800
27514.766289,888.247130,14656.077652,-74464.482406
27514.768898,3108.864956,10362.883188,-75230.577904
27514.771507,740.205942,9918.759623,-74311.263306
27514.774115,1480.411884,4589.276840,-75383.797003
27514.776724,-3404.947333,2812.782580,-75537.016103
27514.779333,4145.153275,8290.306550,-74770.920605
27514.781942,2960.823768,11251.130318,-74770.920605
27514.784551,10362.883188,13619.789333,-75230.577904
27514.787160,4293.194464,12435.459826,-74004.825107
27514.789769,-592.164754,7698.141797,-74770.920605
27514.792378,-6069.688724,7550.100608,-74464.482406
27514.794987,-740.205942,17172.777854,-74617.701505
27514.797596,9030.512492,5625.565159,-76915.987999
27514.800205,-1036.288319,-2812.782580,-74464.482406
27514.802814,5625.565159,-5477.523971,-74311.263306
27514.805423,-5033.400406,-1480.411884,-75843.454302
27514.808032,4737.318029,7402.059420,-76762.768900
27514.810641,4737.318029,8290.306550,-76149.892501
27514.813250,2812.782580,5773.606348,-74617.701505
27514.815859,7550.100608,3404.947333,-74770.920605
27514.818468,-10658.965565,1776.494261,-75996.673402
27514.821077,6513.812290,6217.729913,-76456.330700
27514.823686,-4737.318029,3997.112087,-76303.111601
27514.826295,7105.977043,4885.359217,-74924.139704
27514.828904,444.123565,-1036.288319,-75537.016103
27514.831513,2812.782580,1776.494261,-75537.016103
27514.834122,1628.453072,592.164754,-75690.235202
27514.836731,888.247130,6957.935855,-76915.987999
27514.839340,1480.411884,296.082377,-77835.302597
27514.841949,2220.617826,2368.659014,-76762.768900
27514.844443,2812.782580,5329.482782,-75077.358804
27514.846936,2368.659014,888.247130,-75996.673402
27514.849429,3108.864956,14508.036463,-73545.167808
27514.851923,-1036.288319,1924.535449,-75996.673402
27514.854416,4441.235652,8586.388927,-73391.948708
27514.856909,-592.164754,1776.494261,-73391.948708
27514.859403,1924.535449,1628.453072,-75537.016103
27514.861896,-592.164754,1628.453072,-74924.139704
27514.864390,3552.988522,148.041188,-75077.358804
27514.866883,1332.370696,-1184.329507,-76303.111601
27514.869376,1628.453072,2960.823768,-74464.482406
27514.871870,3701.029710,5625.565159,-76303.111601
27514.874363,-6809.894666,7550.100608,-74924.139704
27514.876856,6217.729913,5477.523971,-74770.920605
27514.879350,1332.370696,-1776.494261,-76609.549800
27514.881843,14211.954086,2072.576638,-76303.111601
27514.884336,-2516.700203,1628.453072,-75996.673402
27514.886830,5329.482782,9918.759623,-75230.577904
27514.889323,-2664.741391,1332.370696,-76762.768900
27514.891816,-2960.823768,444.123565,-75843.454302
27514.894310,592.164754,9770.718434,-74004.825107
27514.896803,11251.130318,18801.230927,-74004.825107
27514.899297,-4885.359217,15988.448347,-74464.482406
27514.901790,8734.430116,11695.253884,-73545.167808
27514.904283,-5181.441594,7254.018232,-73238.729609
27514.906777,11251.130318,6513.812290,-74617.701505
27514.909270,-1184.329507,5921.647536,-76303.111601
27514.911763,7846.182985,7698.141797,-75996.673402
27514.914257,-3552.988522,7994.224174,-74770.920605
27514.916750,-2368.659014,9474.636058,-73851.606007
27514.919243,-7550.100608,11103.089130,-73238.729609
27514.921737,12879.583391,14211.954086,-74617.701505
27514.924230,1036.288319,9770.718434,-76456.330700
27514.926723,7254.018232,10807.006753,-74770.920605
27514.929217,-3108.864956,6069.688724,-73238.729609
27514.931710,-148.041188,11695.253884,-73238.729609
27514.934204,2220.617826,888.247130,-76149.892501
27514.936697,-4441.235652,19541.436869,-72625.853210
27514.939190,11251.130318,2960.823768,-75383.797003
27514.941684,-5477.523971,5773.606348,-74924.139704
27514.944213,9030.512492,10066.800811,-74311.263306
