#time,accel_x,accel_y,accel_z
7239.675574,2516.700203,6069.688724,-75383.797003
7239.678149,2516.700203,6365.771101,-74924.139704
7239.680724,2516.700203,6069.688724,-75690.235202
7239.683298,4441.235652,7846.182985,-75077.358804
7239.685873,4441.235652,5921.647536,-75537.016103
7239.688448,6365.771101,6217.729913,-75690.235202
7239.691023,6661.853478,6069.688724,-75230.577904
7239.693597,2368.659014,5033.400406,-75230.577904
7239.696172,8438.347739,7994.224174,-74464.482406
7239.698747,740.205942,8438.347739,-74924.139704
7239.701322,10658.965565,9918.759623,-75383.797003
7239.703897,3108.864956,4441.235652,-75843.454302
7239.706471,11103.089130,15544.324782,-74158.044206
7239.709046,2072.576638,15544.324782,-75230.577904
7239.711621,-444.123565,14063.912898,-76149.892501
7239.714196,4441.235652,10214.842000,-74004.825107
7239.716771,7846.182985,14063.912898,-73698.386908
7239.719347,2220.617826,8438.347739,-77988.521696
7239.721923,-2664.741391,1332.370696,-76456.330700
7239.724499,-6661.853478,-5921.647536,-74311.263306
7239.727074,2368.659014,-5921.647536,-75690.235202
7239.729650,3997.112087,-3256.906145,-79061.055394
7239.732226,8882.471304,5329.482782,-76149.892501
7239.734802,1628.453072,7402.059420,-74158.044206
7239.737377,-4885.359217,7105.977043,-75077.358804
7239.739953,-5181.441594,6809.894666,-75843.454302
7239.742529,2220.617826,7994.224174,-74617.701505
7239.745105,3108.864956,5477.523971,-76762.768900
7239.747681,8142.265362,444.123565,-77988.521696
7239.750256,592.164754,444.123565,-76609.549800
7239.752832,3256.906145,6217.729913,-74617.701505
7239.755408,740.205942,8586.388927,-75230.577904
7239.757984,1332.370696,6513.812290,-76915.987999
7239.760559,740.205942,7105.977043,-74770.920605
7239.763135,444.123565,2960.823768,-75996.673402
7239.765711,1628.453072,4737.318029,-76609.549800
7239.768287,-1924.535449,5477.523971,-75996.673402
7239.770862,-2516.700203,3701.029710,-74311.263306
7239.773438,-888.247130,2812.782580,-74617.701505
7239.776014,6957.935855,3997.112087,-75230.577904
7239.778590,2368.659014,4589.276840,-75230.577904
7239.781166,7846.182985,3849.070898,-75383.797003
7239.783741,-4589.276840,2072.576638,-75383.797003
7239.786317,-6365.771101,-592.164754,-76915.987999
7239.788893,-7402.059420,-1776.494261,-76609.549800
7239.791469,6809.894666,6661.853478,-75690.235202
7239.794044,3997.112087,6661.853478,-75383.797003
7239.796620,6661.853478,2516.700203,-75383.797003
7239.799196,5033.400406,11103.089130,-73698.386908
7239.801772,-740.205942,11547.212695,-75230.577904
7239.804348,-3256.906145,9030.512492,-75996.673402
7239.806923,5033.400406,6217.729913,-75077.358804
7239.809499,10066.800811,5329.482782,-75230.577904
7239.812075,3849.070898,1924.535449,-75996.673402
7239.814651,7698.141797,4293.194464,-75843.454302
7239.817226,4293.194464,13619.789333,-75383.797003
7239.819803,11547.212695,14359.995275,-76149.892501
7239.822379,-1480.411884,9918.759623,-75077.358804
7239.824955,-296.082377,6809.894666,-74464.482406
7239.827531,1184.329507,3997.112087,-75230.577904
7239.830107,9178.553681,7402.059420,-76609.549800
7239.832684,5773.606348,8586.388927,-76149.892501
7239.835260,14952.160028,10955.047942,-74004.825107
7239.837836,592.164754,6069.688724,-74924.139704
7239.840412,592.164754,7994.224174,-73698.386908
7239.842988,-5921.647536,10214.842000,-75383.797003
7239.845565,6809.894666,9918.759623,-76456.330700
7239.848141,6069.688724,10214.842000,-74158.044206
7239.850717,8734.430116,6513.812290,-74770.920605
7239.853293,4145.153275,6217.729913,-76609.549800
7239.855869,3849.070898,6513.812290,-75996.673402
7239.858446,3404.947333,4589.276840,-75077.358804
7239.861022,6217.729913,6809.894666,-74158.044206
7239.863598,8290.306550,7550.100608,-76456.330700
7239.866174,8734.430116,8142.265362,-74311.263306
7239.868750,5477.523971,5477.523971,-74158.044206
7239.871327,148.041188,5625.565159,-74924.139704
7239.873903,4145.153275,8586.388927,-75077.358804
7239.876479,8438.347739,10066.800811,-75077.358804
7239.879055,7994.224174,12879.583391,-73391.948708
7239.881631,4145.153275,14508.036463,-74770.920605
7239.884208,-592.164754,12139.377449,-76149.892501
7239.886784,1628.453072,8586.388927,-73698.386908
7239.889360,13323.706956,14804.118840,-72932.291410
7239.891936,11843.295072,15248.242405,-74924.139704
7239.894512,3404.947333,6957.935855,-75843.454302
7239.897089,5181.441594,9030.512492,-72932.291410
7239.899665,-6365.771101,5329.482782,-75843.454302
7239.902241,-4293.194464,-6217.729913,-79367.493593
7239.904817,1332.370696,-148.041188,-74311.263306
7239.907394,13027.624579,9770.718434,-74464.482406
7239.909970,3404.947333,5625.565159,-79214.274493
7239.912546,1332.370696,6513.812290,-75843.454302
7239.915122,-9030.512492,8290.306550,-71706.538613
7239.917698,2072.576638,9030.512492,-75996.673402
7239.920275,-4885.359217,2072.576638,-78601.398095
7239.922852,5329.482782,1332.370696,-75230.577904
7239.925429,4293.194464,-1036.288319,-74311.263306
7239.928005,5033.400406,740.205942,-75230.577904
7239.930581,-444.123565,4145.153275,-75843.454302
7239.933158,1924.535449,10807.006753,-74311.263306
7239.935734,-1924.535449,8882.471304,-74311.263306
7239.938311,-1628.453072,5773.606348,-75537.016103
7239.940887,2516.700203,2368.659014,-76303.111601
7239.943463,1036.288319,1776.494261,-74770.920605
7239.946040,6809.894666,1184.329507,-77069.207099
7239.948616,-2516.700203,3108.864956,-76762.768900
7239.951193,444.123565,7846.182985,-75537.016103
7239.953769,592.164754,7994.224174,-74464.482406
7239.956345,3108.864956,5329.482782,-74004.825107
7239.958922,-2072.576638,6513.812290,-76303.111601
7239.961498,-296.082377,4885.359217,-76609.549800
7239.964075,-1776.494261,2516.700203,-77528.864398
7239.966651,1924.535449,3404.947333,-76149.892501
7239.969227,-1628.453072,2812.782580,-75996.673402
7239.971804,5329.482782,2220.617826,-75996.673402
7239.974380,6217.729913,4885.359217,-76456.330700
7239.976957,3552.988522,2664.741391,-75537.016103
7239.979533,-6809.894666,2960.823768,-76456.330700
7239.982109,-7402.059420,740.205942,-76303.111601
7239.984686,-6809.894666,-296.082377,-75843.454302
7239.987262,9622.677246,8734.430116,-74770.920605
7239.989839,2960.823768,5181.441594,-75996.673402
7239.992415,6069.688724,2960.823768,-75843.454302
7239.994991,6661.853478,11547.212695,-72779.072310
7239.997568,-1924.535449,11843.295072,-75996.673402
7240.000144,-3404.947333,3404.947333,-77375.645298
7240.002721,7994.224174,6513.812290,-73391.948708
7240.005297,7846.182985,6513.812290,-74464.482406
7240.007873,5477.523971,5329.482782,-76762.768900
7240.010450,7994.224174,5921.647536,-76149.892501
7240.013026,4441.235652,15544.324782,-72932.291410
7240.015603,10955.047942,14952.160028,-74464.482406
7240.018179,-2664.741391,8882.471304,-75077.358804
7240.020755,3256.906145,7105.977043,-74004.825107
7240.023332,-888.247130,2220.617826,-75690.235202
7240.025908,10658.965565,6217.729913,-76456.330700
7240.028485,8734.430116,7105.977043,-75996.673402
7240.031062,8882.471304,11251.130318,-73698.386908
7240.033639,4885.359217,9622.677246,-75230.577904
7240.036215,888.247130,10066.800811,-75077.358804
7240.038792,-148.041188,9030.512492,-74924.139704
7240.041369,1924.535449,9030.512492,-74924.139704
7240.043945,11103.089130,9622.677246,-75996.673402
7240.046522,3404.947333,6365.771101,-75383.797003
7240.049099,3404.947333,3404.947333,-76149.892501
7240.051675,1924.535449,6661.853478,-73085.510509
7240.054252,2220.617826,3701.029710,-76456.330700
7240.056829,9178.553681,9030.512492,-75383.797003
7240.059406,8438.347739,6365.771101,-75996.673402
7240.061982,7402.059420,7254.018232,-75537.016103
7240.064559,4293.194464,6365.771101,-74617.701505
7240.067136,4589.276840,8290.306550,-74770.920605
7240.069712,2812.782580,11103.089130,-74311.263306
7240.072289,6661.853478,16432.571912,-74770.920605
7240.074866,1332.370696,10362.883188,-76609.549800
7240.077442,4441.235652,10214.842000,-74924.139704
7240.080019,10658.965565,11103.089130,-74004.825107
7240.082596,14804.118840,14804.118840,-74158.044206
7240.085173,2960.823768,9474.636058,-76762.768900
7240.087749,444.123565,3552.988522,-74770.920605
7240.090326,1628.453072,6217.729913,-74617.701505
7240.092903,-3256.906145,-1332.370696,-77835.302597
7240.095479,-1332.370696,148.041188,-76456.330700
7240.098056,9030.512492,9474.636058,-74158.044206
7240.100633,8438.347739,12435.459826,-75690.235202
7240.103209,0.000000,3552.988522,-76915.987999
7240.105786,-4589.276840,3108.864956,-74004.825107
7240.108363,-3552.988522,5329.482782,-75077.358804
7240.110940,592.164754,6069.688724,-77682.083497
7240.113516,444.123565,296.082377,-77222.426198
7240.116093,1628.453072,-444.123565,-74924.139704
7240.118670,2960.823768,-888.247130,-75383.797003
7240.121246,2072.576638,5329.482782,-76609.549800
7240.123823,2072.576638,9622.677246,-75383.797003
7240.126400,1332.370696,12435.459826,-74924.139704
7240.128948,444.123565,6661.853478,-75077.358804
7240.131495,-4589.276840,2072.576638,-74924.139704
7240.134043,1332.370696,-148.041188,-76149.892501
7240.136591,-444.123565,0.000000,-76303.111601
7240.139139,3701.029710,5773.606348,-75537.016103
7240.141686,1184.329507,8438.347739,-76609.549800
7240.144234,3701.029710,6809.894666,-75077.358804
7240.146782,-2812.782580,1628.453072,-74770.920605
7240.149330,296.082377,5477.523971,-75996.673402
7240.151877,-2664.741391,3404.947333,-77375.645298
7240.154425,2664.741391,5773.606348,-75230.577904
7240.156973,-1776.494261,1924.535449,-75537.016103
7240.159521,7698.141797,1332.370696,-75537.016103
7240.162069,1036.288319,1036.288319,-75230.577904
7240.164616,6069.688724,4441.235652,-74311.263306
7240.167164,-6069.688724,7402.059420,-75230.577904
7240.169712,-4145.153275,3997.112087,-75843.454302
7240.172260,-7402.059420,-1776.494261,-74770.920605
7240.174807,9326.594869,4589.276840,-74158.044206
7240.177355,1332.370696,4589.276840,-76149.892501
7240.179903,6661.853478,3701.029710,-76303.111601
7240.182451,592.164754,10066.800811,-73391.948708
7240.184999,1332.370696,12435.459826,-75537.016103
7240.187546,-2072.576638,4885.359217,-76915.987999
7240.190094,10510.924376,4441.235652,-74158.044206
7240.192642,6957.935855,7846.182985,-73698.386908
7240.195190,4589.276840,7994.224174,-75996.673402
7240.197737,2664.741391,7550.100608,-75996.673402
7240.200285,7254.018232,14804.118840,-73238.729609
7240.202833,6661.853478,11695.253884,-75077.358804
7240.205381,6957.935855,12731.542202,-75230.577904
7240.207928,444.123565,5033.400406,-75077.358804
7240.210476,-148.041188,5181.441594,-75077.358804
7240.213024,5033.400406,4885.359217,-76762.768900
7240.215572,6365.771101,6365.771101,-76456.330700
7240.218120,9622.677246,8586.388927,-74924.139704
7240.220667,7254.018232,11103.089130,-73698.386908
7240.223215,3849.070898,10066.800811,-75537.016103
7240.225763,-740.205942,11251.130318,-73698.386908
7240.228311,4589.276840,7846.182985,-74617.701505
7240.230835,4737.318029,6957.935855,-74464.482406
7240.233360,3701.029710,8290.306550,-76609.549800
7240.235884,1332.370696,6069.688724,-76303.111601
7240.238409,1776.494261,5625.565159,-73391.948708
7240.240933,4293.194464,4737.318029,-74464.482406
7240.243458,9030.512492,7698.141797,-75383.797003
7240.245982,5921.647536,7994.224174,-76762.768900
7240.248507,11547.212695,10066.800811,-74617.701505
7240.251031,5773.606348,6957.935855,-75230.577904
7240.253556,1924.535449,11695.253884,-74617.701505
7240.256080,-444.123565,14804.118840,-74770.920605
7240.258605,-296.082377,11547.212695,-74924.139704
7240.261129,5477.523971,10955.047942,-74924.139704
7240.263654,14656.077652,9918.759623,-74311.263306
7240.266178,15100.201217,14211.954086,-74311.263306
7240.268703,3701.029710,8734.430116,-76456.330700
7240.271227,-3849.070898,2368.659014,-75537.016103
7240.273752,740.205942,7402.059420,-74311.263306
7240.276277,-2516.700203,3108.864956,-77528.864398
7240.278801,1332.370696,1184.329507,-76762.768900
7240.281326,7994.224174,7254.018232,-74004.825107
7240.283850,7550.100608,11251.130318,-74464.482406
7240.286375,-592.164754,1776.494261,-77069.207099
7240.288899,-8290.306550,1036.288319,-75230.577904
7240.291424,-148.041188,4589.276840,-74924.139704
7240.293948,-740.205942,5773.606348,-76915.987999
7240.296473,3256.906145,1332.370696,-77069.207099
7240.298997,-592.164754,148.041188,-74770.920605
7240.301522,888.247130,2368.659014,-75383.797003
7240.304046,-592.164754,6957.935855,-75537.016103
7240.306571,1184.329507,8586.388927,-75996.673402
7240.309095,3997.112087,9474.636058,-75383.797003
7240.311620,-1332.370696,6069.688724,-75690.235202
7240.314144,1480.411884,1184.329507,-77222.426198
7240.316669,-1036.288319,-148.041188,-75996.673402
7240.319193,-740.205942,888.247130,-76149.892501
7240.321718,3404.947333,4737.318029,-76609.549800
7240.324242,5329.482782,5921.647536,-74924.139704
7240.326767,-3108.864956,5921.647536,-75077.358804
7240.329291,-1480.411884,4589.276840,-76609.549800
7240.331826,-4145.153275,2960.823768,-76456.330700
7240.334360,1332.370696,5625.565159,-76762.768900
7240.336895,1480.411884,2960.823768,-76149.892501
7240.339430,7846.182985,5477.523971,-74924.139704
7240.341964,1036.288319,-1480.411884,-77222.426198
7240.344499,4145.153275,2072.576638,-74464.482406
7240.347033,-7846.182985,2516.700203,-75996.673402
7240.349568,-5329.482782,4441.235652,-77835.302597
7240.352102,1480.411884,2960.823768,-76456.330700
7240.354637,6217.729913,5329.482782,-75690.235202
7240.357171,5181.441594,3997.112087,-75690.235202
7240.359706,2220.617826,2072.576638,-75690.235202
7240.362240,3849.070898,13175.665768,-74004.825107
7240.364775,-1184.329507,10362.883188,-76149.892501
7240.367309,-1776.494261,7105.977043,-76149.892501
7240.369844,7254.018232,1628.453072,-75077.358804
7240.372378,4441.235652,6513.812290,-74617.701505
7240.374913,8438.347739,7698.141797,-77222.426198
7240.377447,1776.494261,9770.718434,-75383.797003
7240.379982,8438.347739,15100.201217,-73851.606007
7240.382516,9474.636058,13323.706956,-74464.482406
7240.385051,5477.523971,11399.171507,-74770.920605
7240.387585,2368.659014,5921.647536,-75537.016103
7240.390120,-592.164754,4441.235652,-74617.701505
7240.392654,4589.276840,6069.688724,-76609.549800
7240.395189,6661.853478,6957.935855,-75537.016103
7240.397723,8882.471304,8438.347739,-74311.263306
7240.400258,3997.112087,11547.212695,-73545.167808
7240.402793,4145.153275,11695.253884,-75843.454302
7240.405327,1628.453072,8438.347739,-75383.797003
7240.407862,444.123565,4293.194464,-76456.330700
7240.410396,6365.771101,10658.965565,-73698.386908
7240.412931,2072.576638,7105.977043,-76762.768900
7240.415465,4589.276840,5773.606348,-75230.577904
7240.418000,4737.318029,5773.606348,-73545.167808
7240.420534,8586.388927,6217.729913,-74924.139704
7240.423069,7994.224174,6661.853478,-76456.330700
7240.425603,9326.594869,11103.089130,-75230.577904
7240.428138,6809.894666,10362.883188,-75230.577904
7240.430672,3997.112087,11547.212695,-75230.577904
7240.433216,-3256.906145,10658.965565,-75383.797003
7240.435759,1036.288319,11991.336260,-73851.606007
7240.438302,3997.112087,9178.553681,-74924.139704
7240.440846,21317.931130,14656.077652,-74924.139704
7240.443389,7402.059420,11991.336260,-75383.797003
7240.445932,-296.082377,3108.864956,-76303.111601
7240.448476,-2960.823768,5625.565159,-74770.920605
7240.451019,-1480.411884,8882.471304,-74617.701505
7240.453563,-4885.359217,-296.082377,-78448.178995
7240.456106,6217.729913,2368.659014,-76149.892501
7240.458649,10214.842000,7402.059420,-73851.606007
7240.461193,148.041188,3552.988522,-77988.521696
7240.463736,-6069.688724,2220.617826,-75230.577904
7240.466279,-8142.265362,5181.441594,-73085.510509
7240.468823,2812.782580,5477.523971,-75843.454302
7240.471366,-1480.411884,3404.947333,-77682.083497
7240.473910,5773.606348,2072.576638,-75383.797003
7240.476453,-1924.535449,-592.164754,-74770.920605
7240.478996,444.123565,2812.782580,-76149.892501
7240.481540,0.000000,7550.100608,-76915.987999
7240.484083,2516.700203,8438.347739,-74158.044206
7240.486626,4145.153275,6957.935855,-75077.358804
7240.489170,2812.782580,2960.823768,-77069.207099
7240.491713,-148.041188,888.247130,-75690.235202
7240.494257,-4737.318029,3256.906145,-75537.016103
7240.496800,3552.988522,2664.741391,-75843.454302
7240.499343,1184.329507,5329.482782,-74770.920605
7240.501887,2516.700203,4885.359217,-76303.111601
7240.504430,592.164754,5329.482782,-74311.263306
7240.506973,-3997.112087,4293.194464,-75996.673402
7240.509517,148.041188,5033.400406,-75843.454302
7240.512060,3256.906145,6513.812290,-75537.016103
7240.514603,2664.741391,4885.359217,-75996.673402
7240.517147,4441.235652,1036.288319,-76149.892501
7240.519690,-740.205942,-1776.494261,-75690.235202
7240.522234,-7254.018232,-1036.288319,-75843.454302
7240.524777,-5477.523971,1776.494261,-76915.987999
7240.527320,5033.400406,8290.306550,-76149.892501
7240.529864,6809.894666,8290.306550,-75537.016103
7240.532407,2664.741391,592.164754,-75996.673402
7240.534957,4885.359217,5033.400406,-74617.701505
7240.537507,-1776.494261,12731.542202,-74924.139704
7240.540057,3849.070898,10807.006753,-76915.987999
7240.542607,148.041188,444.123565,-75843.454302
7240.545157,14063.912898,6513.812290,-72932.291410
7240.547707,2368.659014,5921.647536,-76456.330700
7240.550257,9622.677246,8734.430116,-76149.892501
7240.552807,2960.823768,14804.118840,-73698.386908
7240.555357,2664.741391,15248.242405,-74770.920605
7240.557907,10955.047942,14656.077652,-74311.263306
7240.560457,0.000000,6365.771101,-74004.825107
7240.563007,5181.441594,6365.771101,-73851.606007
7240.565557,-1184.329507,2220.617826,-76915.987999
7240.568107,7105.977043,7105.977043,-75537.016103
7240.570657,8142.265362,6069.688724,-74924.139704
7240.573207,8734.430116,11103.089130,-73085.510509
7240.575757,3404.947333,10807.006753,-75077.358804
7240.578307,3552.988522,10807.006753,-74617.701505
7240.580857,-4145.153275,2072.576638,-76609.549800
7240.583407,296.082377,7550.100608,-74770.920605
7240.585957,6069.688724,14063.912898,-73698.386908
7240.588507,3256.906145,1776.494261,-78907.836294
7240.591057,12435.459826,10807.006753,-72779.072310
7240.593607,2220.617826,1036.288319,-74617.701505
7240.596157,9770.718434,8438.347739,-75383.797003
7240.598707,9030.512492,10955.047942,-76303.111601
7240.601257,4293.194464,15396.283594,-73851.606007
7240.603807,1036.288319,11547.212695,-75537.016103
7240.606357,-2368.659014,6365.771101,-75843.454302
7240.608907,444.123565,9622.677246,-74158.044206
7240.611457,15248.242405,12139.377449,-74158.044206
7240.614007,16876.695478,17468.860231,-74158.044206
7240.616557,6217.729913,10658.965565,-75996.673402
7240.619107,-2072.576638,2368.659014,-75077.358804
7240.621657,-1628.453072,6957.935855,-73698.386908
7240.624207,-5921.647536,2368.659014,-78141.740796
7240.626757,1776.494261,740.205942,-75843.454302
7240.629307,6809.894666,5773.606348,-73698.386908
7240.631857,13471.748144,9474.636058,-74617.701505
7240.634407,-2516.700203,1036.288319,-77528.864398
7240.636963,-7698.141797,3404.947333,-74770.920605
7240.639519,-4737.318029,5625.565159,-73545.167808
7240.642075,2368.659014,6513.812290,-76456.330700
7240.644630,2220.617826,1036.288319,-77988.521696
7240.647186,1924.535449,444.123565,-74464.482406
7240.649742,0.000000,148.041188,-75077.358804
7240.652298,-2516.700203,2664.741391,-76762.768900
7240.654853,2368.659014,9178.553681,-75843.454302
7240.657409,2960.823768,9030.512492,-74617.701505
7240.659965,7846.182985,7254.018232,-75077.358804
7240.662521,-148.041188,4145.153275,-75383.797003
7240.665077,-2664.741391,1332.370696,-75996.673402
7240.667632,888.247130,4885.359217,-76609.549800
7240.670188,-592.164754,3997.112087,-76303.111601
7240.672744,3552.988522,8438.347739,-75077.358804
7240.675300,-1776.494261,2812.782580,-77069.207099
7240.677855,888.247130,4589.276840,-74004.825107
7240.680411,-740.205942,3701.029710,-75843.454302
7240.682967,1776.494261,5477.523971,-77375.645298
7240.685523,4441.235652,4145.153275,-76609.549800
7240.688078,1184.329507,740.205942,-74311.263306
7240.690634,-3108.864956,-2960.823768,-76609.549800
7240.693190,-7550.100608,-3256.906145,-76456.330700
7240.695746,-2072.576638,1776.494261,-76915.987999
7240.698301,4441.235652,10807.006753,-75843.454302
7240.700857,6661.853478,8586.388927,-74924.139704
7240.703413,444.123565,3404.947333,-74617.701505
7240.705969,5033.400406,11843.295072,-72625.853210
7240.708525,296.082377,10362.883188,-75996.673402
7240.711080,-2072.576638,4589.276840,-77682.083497
7240.713636,7698.141797,2072.576638,-74617.701505
7240.716192,8734.430116,5921.647536,-73391.948708
7240.718752,3108.864956,6513.812290,-76303.111601
7240.721312,3997.112087,8290.306550,-75383.797003
7240.723872,6661.853478,18505.148550,-72779.072310
7240.726432,10955.047942,14211.954086,-74311.263306
7240.728992,4145.153275,11547.212695,-75383.797003
7240.731552,1628.453072,4145.153275,-74924.139704
7240.734112,3256.906145,4885.359217,-74770.920605
7240.736672,-1036.288319,1628.453072,-76456.330700
7240.739232,6809.894666,7254.018232,-76456.330700
7240.741792,7698.141797,7402.059420,-75690.235202
7240.744353,5921.647536,11251.130318,-73391.948708
7240.746913,4145.153275,12879.583391,-75077.358804
7240.749473,740.205942,8882.471304,-75996.673402
7240.752033,3997.112087,3552.988522,-75230.577904
7240.754593,3849.070898,9030.512492,-75383.797003
7240.757153,3552.988522,9030.512492,-77528.864398
