#time,accel_x,accel_y,accel_z
11527.962931,2220.617826,4293.194464,-73698.386908
11527.965488,5477.523971,6069.688724,-75690.235202
11527.968046,2368.659014,9622.677246,-72319.415011
11527.970603,0.000000,7846.182985,-73391.948708
11527.973160,592.164754,5625.565159,-72472.634111
11527.975718,592.164754,8142.265362,-75537.016103
11527.978275,3701.029710,5625.565159,-75843.454302
11527.980833,1480.411884,6809.894666,-74311.263306
11527.983390,-3108.864956,5329.482782,-76609.549800
11527.985948,0.000000,6957.935855,-75996.673402
11527.988505,5477.523971,6069.688724,-73085.510509
11527.991063,10807.006753,2220.617826,-73085.510509
11527.993620,11399.171507,-148.041188,-74924.139704
11527.996178,2368.659014,4441.235652,-75383.797003
11527.998735,2812.782580,3849.070898,-75843.454302
11528.001293,1924.535449,3256.906145,-75230.577904
11528.003850,2960.823768,3849.070898,-75230.577904
11528.006408,5477.523971,9178.553681,-72472.634111
11528.008965,2368.659014,3849.070898,-75690.235202
11528.011522,2664.741391,4145.153275,-75077.358804
11528.014080,-9030.512492,8290.306550,-76149.892501
11528.016637,-8734.430116,6957.935855,-76762.768900
11528.019195,-2812.782580,5477.523971,-76303.111601
11528.021751,4737.318029,5921.647536,-74311.263306
11528.024307,11843.295072,6957.935855,-72472.634111
11528.026863,-3552.988522,8586.388927,-74311.263306
11528.029418,-3404.947333,10214.842000,-73391.948708
11528.031974,-3849.070898,8438.347739,-74464.482406
11528.034530,2220.617826,12287.418637,-73545.167808
11528.037086,1924.535449,10510.924376,-74617.701505
11528.039642,1628.453072,9178.553681,-73391.948708
11528.042198,-3849.070898,7550.100608,-72932.291410
11528.044754,-7994.224174,7994.224174,-74004.825107
11528.047310,-2368.659014,6661.853478,-73238.729609
11528.049865,296.082377,9474.636058,-76303.111601
11528.052421,8142.265362,5773.606348,-73851.606007
11528.054977,1332.370696,8438.347739,-74004.825107
11528.057533,-4145.153275,6217.729913,-72319.415011
11528.060089,5329.482782,9178.553681,-71553.319513
11528.062645,-5477.523971,9178.553681,-74770.920605
11528.065201,6809.894666,14508.036463,-70634.004916
11528.067757,4441.235652,8882.471304,-74158.044206
11528.070312,2664.741391,8290.306550,-72319.415011
11528.072868,-2072.576638,8882.471304,-72625.853210
