freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.903e+01,5.263e+02,6.209e+01,6.274e+02
1.6,1.201e+02,6.010e+02,7.423e+01,7.953e+02
3.1,1.276e+02,3.568e+02,4.951e+01,5.339e+02
4.7,1.229e+02,6.339e+02,5.148e+01,8.083e+02
6.2,1.335e+02,1.559e+03,5.843e+01,1.751e+03
7.8,1.403e+02,2.360e+03,6.039e+01,2.561e+03
9.4,1.347e+02,3.159e+03,5.997e+01,3.353e+03
10.9,1.445e+02,4.031e+03,6.119e+01,4.237e+03
12.5,1.404e+02,4.534e+03,6.281e+01,4.737e+03
14.0,1.522e+02,5.447e+03,6.061e+01,5.660e+03
15.6,1.725e+02,6.791e+03,6.412e+01,7.028e+03
17.2,1.809e+02,8.302e+03,6.577e+01,8.549e+03
18.7,1.991e+02,9.934e+03,7.562e+01,1.021e+04
20.3,2.016e+02,1.176e+04,8.549e+01,1.205e+04
21.8,2.158e+02,1.379e+04,8.342e+01,1.409e+04
23.4,2.461e+02,1.624e+04,8.267e+01,1.657e+04
25.0,2.594e+02,1.884e+04,8.968e+01,1.919e+04
26.5,2.683e+02,2.196e+04,1.076e+02,2.234e+04
28.1,2.630e+02,2.500e+04,1.211e+02,2.538e+04
29.7,2.339e+02,2.778e+04,1.289e+02,2.814e+04
31.2,2.169e+02,3.099e+04,1.276e+02,3.133e+04
32.8,2.315e+02,3.588e+04,1.363e+02,3.625e+04
34.3,2.681e+02,4.152e+04,1.445e+02,4.194e+04
35.9,3.496e+02,4.815e+04,1.556e+02,4.866e+04
37.5,4.581e+02,5.609e+04,1.743e+02,5.672e+04
39.0,5.634e+02,6.531e+04,2.055e+02,6.608e+04
40.6,6.868e+02,7.792e+04,2.680e+02,7.888e+04
42.1,8.729e+02,9.452e+04,3.215e+02,9.572e+04
43.7,1.140e+03,1.153e+05,4.034e+02,1.169e+05
45.3,1.404e+03,1.425e+05,5.095e+02,1.444e+05
46.8,1.703e+03,1.777e+05,5.724e+02,1.800e+05
48.4,2.028e+03,2.188e+05,6.559e+02,2.215e+05
49.9,2.290e+03,2.699e+05,8.502e+02,2.730e+05
51.5,2.616e+03,3.404e+05,1.137e+03,3.441e+05
53.1,3.194e+03,4.308e+05,1.510e+03,4.355e+05
54.6,3.618e+03,5.597e+05,2.245e+03,5.656e+05
56.2,4.520e+03,7.759e+05,3.409e+03,7.838e+05
57.7,8.159e+03,1.092e+06,4.085e+03,1.104e+06
59.3,1.605e+04,1.688e+06,3.092e+03,1.707e+06
60.9,2.319e+04,2.308e+06,4.488e+03,2.335e+06
62.4,2.479e+04,2.219e+06,1.077e+04,2.254e+06
64.0,2.315e+04,1.879e+06,1.965e+04,1.922e+06
65.5,1.647e+04,1.508e+06,2.266e+04,1.547e+06
67.1,8.371e+03,9.829e+05,2.438e+04,1.016e+06
68.7,4.394e+03,6.326e+05,2.345e+04,6.605e+05
70.2,2.630e+03,4.144e+05,1.788e+04,4.349e+05
71.8,2.012e+03,2.599e+05,1.097e+04,2.728e+05
73.3,1.700e+03,1.745e+05,6.499e+03,1.827e+05
74.9,1.455e+03,1.389e+05,5.228e+03,1.456e+05
76.5,1.163e+03,1.042e+05,4.164e+03,1.095e+05
78.0,1.180e+03,7.472e+04,2.462e+03,7.836e+04
79.6,1.178e+03,5.173e+04,1.337e+03,5.424e+04
81.1,1.151e+03,3.417e+04,7.951e+02,3.612e+04
82.7,1.388e+03,2.484e+04,6.330e+02,2.686e+04
84.3,2.119e+03,1.786e+04,8.092e+02,2.079e+04
85.8,2.672e+03,1.387e+04,1.279e+03,1.782e+04
87.4,2.158e+03,1.203e+04,1.478e+03,1.567e+04
89.0,1.567e+03,1.132e+04,1.091e+03,1.398e+04
90.5,1.501e+03,1.099e+04,6.478e+02,1.313e+04
92.1,1.732e+03,9.511e+03,3.761e+02,1.162e+04
93.6,1.950e+03,7.169e+03,3.799e+02,9.499e+03
95.2,2.007e+03,5.630e+03,7.605e+02,8.398e+03
96.8,2.308e+03,5.311e+03,1.668e+03,9.287e+03
98.3,3.360e+03,4.861e+03,3.281e+03,1.150e+04
99.9,5.430e+03,5.528e+03,4.465e+03,1.542e+04
101.4,6.075e+03,1.073e+04,4.382e+03,2.119e+04
103.0,8.378e+03,1.848e+04,2.806e+03,2.967e+04
104.6,1.345e+04,2.520e+04,1.815e+03,4.047e+04
106.1,2.146e+04,3.308e+04,1.944e+03,5.649e+04
107.7,2.918e+04,3.871e+04,2.631e+03,7.052e+04
109.2,3.052e+04,4.496e+04,3.564e+03,7.905e+04
110.8,3.144e+04,5.284e+04,3.746e+03,8.803e+04
112.4,2.994e+04,6.006e+04,3.722e+03,9.373e+04
113.9,2.685e+04,6.959e+04,3.997e+03,1.004e+05
115.5,2.140e+04,7.730e+04,4.974e+03,1.037e+05
117.0,1.783e+04,8.833e+04,6.979e+03,1.131e+05
118.6,1.533e+04,1.004e+05,9.980e+03,1.257e+05
120.2,1.705e+04,1.111e+05,1.003e+04,1.382e+05
121.7,2.658e+04,1.251e+05,6.363e+03,1.580e+05
123.3,2.925e+04,1.364e+05,8.133e+03,1.737e+05
124.8,2.838e+04,1.467e+05,1.188e+04,1.870e+05
126.4,3.281e+04,1.624e+05,1.381e+04,2.090e+05
128.0,3.720e+04,1.786e+05,1.467e+04,2.305e+05
129.5,4.033e+04,2.069e+05,1.593e+04,2.632e+05
131.1,3.970e+04,2.397e+05,1.670e+04,2.961e+05
132.6,2.902e+04,1.789e+05,1.124e+04,2.192e+05
134.2,9.334e+03,2.824e+04,1.716e+03,3.929e+04
135.8,5.166e+03,5.004e+03,2.187e+02,1.039e+04
137.3,3.972e+03,6.779e+03,2.252e+02,1.098e+04
138.9,2.717e+03,8.678e+03,2.934e+02,1.169e+04
140.4,1.860e+03,1.020e+04,4.359e+02,1.250e+04
142.0,1.311e+03,1.180e+04,6.334e+02,1.374e+04
143.6,9.401e+02,1.461e+04,9.440e+02,1.649e+04
145.1,6.062e+02,1.823e+04,1.456e+03,2.029e+04
146.7,4.336e+02,2.338e+04,2.276e+03,2.609e+04
148.3,4.030e+02,3.086e+04,3.673e+03,3.494e+04
149.8,5.103e+02,3.908e+04,5.207e+03,4.479e+04
151.4,7.051e+02,3.863e+04,5.787e+03,4.512e+04
152.9,1.054e+03,3.802e+04,5.776e+03,4.485e+04
154.5,1.456e+03,3.428e+04,4.976e+03,4.071e+04
156.1,1.764e+03,3.028e+04,4.329e+03,3.638e+04
157.6,2.071e+03,2.745e+04,3.825e+03,3.334e+04
159.2,2.317e+03,2.297e+04,3.178e+03,2.846e+04
160.7,2.411e+03,1.818e+04,2.696e+03,2.329e+04
162.3,2.262e+03,1.702e+04,2.803e+03,2.209e+04
163.9,2.491e+03,1.970e+04,3.671e+03,2.586e+04
165.4,2.590e+03,2.397e+04,5.264e+03,3.182e+04
167.0,2.408e+03,3.140e+04,7.779e+03,4.159e+04
168.5,2.365e+03,3.991e+04,1.078e+04,5.305e+04
170.1,2.629e+03,4.880e+04,1.387e+04,6.530e+04
171.7,2.914e+03,5.539e+04,1.606e+04,7.436e+04
173.2,3.378e+03,6.030e+04,1.798e+04,8.166e+04
174.8,3.850e+03,7.114e+04,2.189e+04,9.688e+04
176.3,4.048e+03,9.506e+04,3.153e+04,1.306e+05
177.9,4.587e+03,1.308e+05,4.831e+04,1.837e+05
179.5,5.394e+03,1.677e+05,6.898e+04,2.421e+05
181.0,5.713e+03,2.008e+05,9.072e+04,2.973e+05
182.6,6.338e+03,2.152e+05,9.958e+04,3.211e+05
184.1,9.325e+03,2.080e+05,1.017e+05,3.190e+05
185.7,1.186e+04,1.841e+05,9.980e+04,2.957e+05
187.3,1.153e+04,1.469e+05,8.772e+04,2.461e+05
188.8,1.046e+04,1.318e+05,8.436e+04,2.266e+05
190.4,9.059e+03,1.169e+05,7.810e+04,2.041e+05
191.9,8.564e+03,1.045e+05,7.189e+04,1.849e+05
193.5,8.569e+03,9.305e+04,6.501e+04,1.666e+05
195.1,7.459e+03,8.728e+04,6.137e+04,1.561e+05
196.6,6.264e+03,7.216e+04,5.302e+04,1.314e+05
198.2,5.875e+03,6.557e+04,5.350e+04,1.249e+05
199.7,7.086e+03,6.430e+04,5.792e+04,1.293e+05
