freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.386e+01,5.721e+00,1.129e+02,1.325e+02
1.6,1.834e+01,1.628e+01,8.081e+01,1.154e+02
3.1,1.281e+01,1.803e+01,3.864e+01,6.948e+01
4.7,1.321e+01,1.841e+01,3.628e+02,3.944e+02
6.2,1.344e+01,2.180e+01,1.254e+03,1.289e+03
7.8,1.364e+01,2.528e+01,2.213e+03,2.251e+03
9.4,1.366e+01,3.965e+01,3.218e+03,3.271e+03
10.9,1.412e+01,4.916e+01,3.076e+03,3.140e+03
12.5,1.386e+01,3.198e+01,3.638e+03,3.684e+03
14.0,1.428e+01,3.026e+01,5.420e+03,5.465e+03
15.6,1.581e+01,3.469e+01,7.648e+03,7.699e+03
17.1,1.640e+01,4.049e+01,9.521e+03,9.577e+03
18.7,1.900e+01,4.467e+01,1.104e+04,1.111e+04
20.3,2.008e+01,5.020e+01,1.312e+04,1.319e+04
21.8,2.629e+01,5.503e+01,1.588e+04,1.596e+04
23.4,3.348e+01,6.051e+01,1.949e+04,1.958e+04
24.9,3.234e+01,6.839e+01,2.394e+04,2.404e+04
26.5,2.599e+01,6.788e+01,2.691e+04,2.701e+04
28.1,2.051e+01,9.029e+01,2.844e+04,2.855e+04
29.6,4.073e+01,1.073e+02,2.926e+04,2.941e+04
31.2,7.210e+01,1.067e+02,2.716e+04,2.734e+04
32.7,9.301e+01,9.999e+01,2.108e+04,2.127e+04
34.3,1.104e+02,1.107e+02,1.899e+04,1.922e+04
35.9,1.111e+02,1.074e+02,2.038e+04,2.059e+04
37.4,1.132e+02,1.145e+02,2.181e+04,2.204e+04
39.0,1.471e+02,1.035e+02,2.386e+04,2.411e+04
40.5,2.136e+02,8.728e+01,2.830e+04,2.860e+04
42.1,2.950e+02,1.435e+02,3.533e+04,3.577e+04
43.6,3.966e+02,1.377e+02,4.512e+04,4.566e+04
45.2,5.553e+02,1.492e+02,5.868e+04,5.938e+04
46.8,8.238e+02,3.381e+02,7.678e+04,7.794e+04
48.3,1.222e+03,5.700e+02,9.765e+04,9.944e+04
49.9,1.837e+03,6.656e+02,1.213e+05,1.238e+05
51.4,2.912e+03,8.605e+02,1.598e+05,1.636e+05
53.0,4.752e+03,1.379e+03,1.964e+05,2.025e+05
54.6,5.865e+03,1.674e+03,1.764e+05,1.840e+05
56.1,5.211e+03,1.509e+03,1.391e+05,1.458e+05
57.7,3.945e+03,1.266e+03,1.075e+05,1.128e+05
59.2,3.466e+03,1.157e+03,9.565e+04,1.003e+05
60.8,4.190e+03,1.142e+03,8.139e+04,8.672e+04
